question,options,correct_index,question_image
Эти знаки разрешают движение:,"[""Только   налево."", ""Только   прямо."", ""Только направо."", ""Прямо, направо и в обратном направлении.""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/1.jpg}
Какой знак  предоставляет  водителю преимущество по отношению к встречным транспортным  средствам?,"[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/2.jpg}
"Разрешается ли  заезжать  на полосу, обозначенную  этим знаком при выполнении  правого поворота?","[""Разрешается."", ""Запрещается."", ""Разрешается, если полоса не отделена от остальной проезжей части  сплошной  линией разметки.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/3.jpg}
Этот  дорожный знак обозначает:,"[""Участок дороги, на котором имеется тротуар или пешеходная дорожка."", ""Участок дороги, на котором имеется пешеходный переход."", ""Участок дороги, не имеющий тротуара или пешеходной дорожки.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/4.jpg}
"Какой знак  запрещает  движение транспортных  средств с дистанцией между ними, меньшей указанной на знаке?","[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/5.jpg}
На каком расстоянии до начала опасного участка устанавливаются  эти   знаки в населенных пунктах?,"[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/6.jpg}
Этот  дорожный знак:,"[""Запрещает движение всех механических транспортных средств, за исключением двухколесных мотоциклов без коляски."", ""Запрещает движение всех механических транспортных средств, за исключением колесных тракторов."", ""Запрещается движение тракторов и самоходных машин.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/7.jpg}
"Какой знак обязывает уступить дорогу встречным  транспортным средствам, находящимся на узком участке или противоположном подъезде к нему?","[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/8.jpg}
Какой знак предупреждает о приближении к перекрестку равнозначных дорог?,"[""1"", ""2"", ""3"", ""4"", ""5""]",4,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/9.jpg}
Какой знак устанавливается непосредственно перед пересечением проезжих частей?,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/10.jpg}
Что означает табличка под знаком?,"[""Расстояние от знака до начала первого поворота."", ""Расстояние от первого поворота до начала  второго поворота."", ""Протяженнось участка дороги  с опасными поворотами.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/11.jpg}
Что означают  эти знаки?,"[""Движение мотоциклов   направо запрещено."", ""Движение мотоциклов   направо разрешено.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/12.jpg}
Какой знак запрещает  стоянку по четным числам месяца?,"[""1"", ""2"", ""3"", ""4"", ""5""]",4,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/13.jpg}
Этот  дорожный знак:,"[""Разрешает движение только с указанной или большей скоростью."", ""Запрещает движение с большей скоростью, чем указано на знаке."", ""Указывает скорость, с которой рекомендуется движение на данном участке дороги.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/14.jpg}
Какой знак  требует уступить  дорогу  встречным транспортным средствам?,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/15.jpg}
Этот  знак называется?,"[""Предварительный указатель объезда препятствий."", ""Предварительный указатель  перестроения на другую  проезжую часть."", ""Предварительный указатель  выезда  на полосу встречного движения.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/16.jpg}
"Какой знак обязывает уступить дорогу транспортным  средствам, движущимся  по пересекаемой дороге?","[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/17.jpg}
Можно ли водителю автобуса обгонять в зоне  действия  этого знака?,"[""Можно во всех случаях с соблюдением правил обгона."", ""Нельзя."", ""Можно при условии, если обгоняемое  транспортное средство движется  со скоростью менее 30 км/ч.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/18.jpg}
Какой  из знаков  разрешает движение  только с указанной (км/ч) или большей  скоростью?,"[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/19.jpg}
Какой знак  указывает  участок дороги с односторонним движением?,"[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/20.jpg}
Что указывает табличка под знаком?,"[""Протяженность узкого участка дороги."", ""Расстояние от знака  до места ограничения."", ""Расстояние до объезда узкого участка дороги.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/21.jpg}
"Этот  дорожный знак предупреждает, что  впереди:","[""Участок дороги с водной преградой, не имеющий моста или паромной переправы."", ""Участок дороги с водной преградой, на котором имеется разводной мост."", ""Место, где дорога выходит на набережную или берег.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/22.jpg}
"Какой из знаков указывает зону действия дорожных знаков, запрещающих остановку и стоянку транспортных средств?","[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/23.jpg}
"Какой из знаков указывает протяженность опасного участка дороги, обозначенного преупреждающими знаками?","[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/24.jpg}
Этот  дорожный знак обозначает:,"[""Дорога с односторонним движением, на которой разрешено движение только грузовых автомобилей."", ""Полосу, предназначенную  для движения только грузовых автомобилей."", ""Рекомендуемое  направление движения для грузовых автомобилей.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/25.jpg}
"Какой знак обозначает  ,,Гостиницу"" или ,,Мотель"" ?","[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/26.jpg}
Таким опознавательным  знаком  обозначаются  автомобили:,"[""Перевозящие опасные  грузы."", ""Управляемые инвалидами."", ""Управляемые глухонемыми или глухими  водителями."", ""Управляемые водителями, имеющими водительский стаж до 3-х лет.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/27.jpg}
Какой знак обозначает  конец зоны ограничения  максимальной скорости 50 км/ч?,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/28.jpg}
О чем предупреждает знак и табличка  под ним:,"[""Остановка на обочине запрещена в связи с работами."", ""Съезд на обочину опасен в связи с проведением на ней ремонтных работ"", ""Стоянка на обочине запрещена в связи с ремонтными работами на дороге.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/29.jpg}
Таким опознавательным  знаком  обозначают  транспортное средство:,"[""Управляемое инвалидом."", ""Перевозящее тяжеловесные и крупногабаритные грузы."", ""Перевозящее опасные грузы."", ""Управляемое  глухонемым или глухим водителем.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/30.jpg}
Какой  из  указанных знаков   отменяет все ранее  введенные ограничения?,"[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/31.jpg}
В каком случае водитель правильно выполнил требования этого знака?,"[""Уступил дорогу механическим транспортным средствам, движущимся по пересекаемой дороге."", ""Уступил дорогу транспортным средствам,  движущимся по пересекаемой дороге.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/32.jpg}
Какой из указанных знаков устанавливается для обозначения автопоезда?,"[""Левый знак."", ""Правый знак."", ""Оба знака.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/33.jpg}
"Какой   знак обязывает уступить дорогу   транспортным средствам, движущимся  по пересекаемой дороге?","[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/34.jpg}
Какой знак (табличка) указывает способ  постановки транспортного средства на стоянку?,"[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/35.jpg}
"Разрешается ли  останавливаться на полосе, обозначенной  этим знаком для посадки пассажиров?","[""Разрешается, если полоса расположена у правого края проезжей части, и если она не отделена от остальной проезжей части сплошной  линией разметки."", ""Запрещается."", ""Разрешается.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/36.jpg}
При наличии этого дорожного знака:,"[""Запрещается обгон всеми видами  транспортных средств, за исключением тихоходных транспортных средств, гужевых повозок, мотоциклов без бокового прицепа, мопедов и велосипедов."", ""Разрешается   обгон  грузовыми    автомобилями  с разрешенной  максимальной массой не более 3,5 т."", ""Обгон разрешен, если скорость   обгоняемого  транспортного средста не превышает 30 км/ч.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/37.jpg}
"Какой знак называется  ,,Пересечение с велосипедной дорожкой"" ?","[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/38.jpg}
Какой  из указанных знаков  обозначает конец зоны   запрещения обгона?,"[""1"", ""2"", ""3"", ""4"", ""5""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/39.jpg}
Какой знак указывает направление движения на Т-образном перекрестке?,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/40.jpg}
,"[""1"", ""2"", ""3"", ""4"", ""5 Этот  дорожный знак обозначает:"", ""Дорогу, не имеющую сквозного проезда."", ""Направление движения  к объекту в населенном пункте."", ""Конец дополнительной полосы на подъеме или полосы  разгона.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/41.jpg}
Действие  какого знака не распространяется на транспортные средства общего пользования?,"[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/42.jpg}
"Каким транспортным средствам разрешено движение по дороге, на которой установлен этот знак?","[""Механическим транспортным средствам."", ""Всем транспортным средствам."", ""Автомобилям и  мотоциклам."", ""Транспортным средствам максимальная скорость которых более"", ""км/ч.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/43.jpg}
Какой из этих  дорожных знаков не является запрещающим?,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/44.jpg}
Что обозначает данный опознавательный знак:,"[""Впереди  участок дороги, имеющий неровность на проезжей части."", ""Впереди  участок дороги с тремя полосами для движения в данном направлении."", ""На механическом транспортном средстве установлены шины с шипами.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/45.jpg}
"Который из этих знаков называется ,,Конец дороги с односторонним движением""?","[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/46.jpg}
"Какой знак обязывает уступить дорогу транспортным  средствам, движущимся  по пересекаемой дороге?","[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/47.jpg}
Эти знаки обозначают:,"[""Место стоянки через 30 м для автомобилей с опознавательным знаком ,,Инвалид\""."", ""Место стоянки  в зоне  30 м для транспортных средств, кроме мотоколясок."", ""Место стоянки в зоне 30 м для мотоколясок и автомобилей с опознавательным знаком ,,Инвалид\"".""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/48.jpg}
Какой из этих знаков  является опознавательным   знаком транспортных  средств?,"[""1"", ""2"", ""3""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/49.jpg}
Движение каких транспортных средств запрещает  этот дорожный знак?,"[""Механических транспортных средств."", ""Только автомобилей."", ""Всех легковых автомобилей.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/50.jpg}
Какой из знаков указывает объезд припятствия справа или слева?,"[""1"", ""2"", ""3"", ""4"", ""5""]",4,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/51.jpg}
"Какой из знаков устанавливается спереди и сзади транспортного средства, перевозящего группу детей?","[""1"", ""2"", ""3"", ""4""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/52.jpg}
Что показывают данные дорожные знаки?,"[""Главная дорога продолжается от перекрестка налево"", ""Главная дорога продолжается  прямо через перекресток и налево""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/53.jpg}
Что показывают данные дорожные знаки?,"[""В зоне действия таблички водители должны передвигаться с большей скоростью, чем указано на знаке."", ""В зоне действия таблички водителям рекомендуется передвигаться со скоростью указанной знаком.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/54.jpg}
"Какие знаки распространяют свое действие только на период времени, когда покрытие проезжей части влажное?","[""Только A и C."", ""Только B."", ""Только C."", ""Все.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/55.jpg}
Как должен поступить водитель в данной ситуации?,"[""Продолжать движение по прямой."", ""Перестроиться на полосу встречного движения.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/56.jpg}
Что показывают данные дорожные знаки?,"[""Через 150-300м после знака начинается сужение дороги с правой стороны протяженностью 100м."", ""Через 100м после знака начинается сужение дороги с правой стороны.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/57.jpg}
В каком направлении водителю разрешено движение:,"[""Только направо и налево."", ""Только прямо."", ""Прямо и в обратном направлении.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/58.jpg}
Что показывают данные дорожные знаки?,"[""Остановка запрещена по субботам."", ""Остановка запрещена по воскресеньям."", ""Остановка запрещена по субботам, воскресеньям и по праздничным дням."", ""Остановка запрещена во время снегопада.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/59.jpg}
Какой из знаков запрещает разворот?,"[""1"", ""2"", ""3""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/60.jpg}
Что показывают данные дорожные знаки?,"[""Съезжать на обочину опасно в связи с ремонтными работами."", ""На дороге ведутся ремонтные работы.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/61.jpg}
"Как должен поступать водитель в том случае, когда перед перекрестком установлен данный дорожный знак?","[""Проехать перекресток, соблюдая правила безопасности."", ""Уступить дорогу транспортным средствам, двигающимся по пересекаемой дороге ."", ""Остановиться перед знаком и уступить дорогу  транспортным средствам, двигающимся по пересекаемой дороге.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/62.jpg}
Действие каких знаков не распространяется на транспортные средства общего пользования?,"[""Ни один из знаков."", ""Только первого."", ""Только четвертого.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/63.jpg}
"Данный дорожный знак показывает, что ?","[""На перекрестке следует двигаться налево или направо."", ""На пересекаемой дороге организовано реверсивное движение."", ""На пересекаемой дороге организовано одностороннее движение.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/64.jpg}
Обязан ли в данной ситуации водитель уступить дорогу грузовому автомобилю?,"[""Обязан."", ""Не обязан.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/65.jpg}
Что показывают данные дорожные знаки?,"[""Водители должны передвигаться со скоростью 40км/ч при гололедице."", ""Водители должны передвигаться со скоростью не более 40км/ч при мокром покрытии дороги.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/66.jpg}
Что показывают данные дорожные знаки?,"[""Остановка запрещается по субботам."", ""Остановка запрещается по воскресеньям."", ""Остановка запрещается по рабочим дням.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/67.jpg}
Что показывает данный дорожный знак?,"[""Движение на данном участке дороги разрешается со скоростью не более 50 км/ч."", ""На данном участке дороги рекомендуется передвигаться со скоростью 50 км/ч."", ""Движение разрешено только при указанной на данном знаке скорости или более.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/68.jpg}
Какой дорожный знак принуждает водителя ехать только налево или направо?,"[""1"", ""2"", ""3""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/69.jpg}
Что показывают данные дорожные знаки?,"[""При мокром покрытии дороги рекомендуется движение со скоростью 40 км/ч."", ""При мокром покрытии дороги разрешается движение со скоростью не более 40 км/ч.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/70.jpg}
Действие данных дорожных знаков распространяются:,"[""На левую сторону дороги."", ""На правую сторону дороги."", ""На ту сторону дороги, где они установлены.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/71.jpg}
По какой траектории разрешается объезд препятствия в данной ситуации?,"[""Толако ''a''."", ""Только ''b''."", ""'a'' и ''b''.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/72.jpg}
Как должен поступить водитель в данной ситуации?,"[""Необходимо остановиться около первого знака."", ""Необходимо остановиться перед вторым знаком."", ""Необходимо остановиться на расстоянии  не менее 5 метров от первой железнодорожной линии.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/73.jpg}
"Как должен поступить водитель, если намерен совершить правый поворот на перекрестке?","[""Может перестроиться на правую полосу движения и после этого совершить поворот."", ""Может приблизиться к перекрестку, затем совершить правый поворот."", ""Оба ответа правильны.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/74.jpg}
Имеет ли водитель право совершить разворот  на расстоянии 200 м от знака в данной ситуации?,"[""Имеет право."", ""Не имеет право.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/75.jpg}
Обязан ли водитель остановиться на указанном регулировщиком месте в данной ситуации?,"[""Не обязан, поскольку знак запрещает остановку."", ""Обязан.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/76.jpg}
Как должен поступить водитель в данной ситуации?,"[""Проехать железнодорожный переезд, соблюдая меры безопасности."", ""Проехать железнодорожный переезд не останавливаясь."", ""Остановиться перед знаком и, соблюдая меры безопасности, проехать многорельсовый железнодорожный переезд.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/77.jpg}
Что указывает данная дорожная разметка на проезжей части?,"[""Границы полос, выделенных для попутно двигающихся транспортных средств."", ""Границу полосы проезжей части с реверсивным движением.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/78.jpg}
В каком направлении разрешено движение  легкового автомобиля?,"[""Налево и в обратном направлении."", ""В любом направлении."", ""Прямо, налево и в обратном направлении.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/79.jpg}
Как должен поступить водитель в данной ситуации?,"[""В случае необходимости уступить дорогу  транспортному средству, двигающемуся по пересекаемой дороге."", ""Остановиться и уступить дорогу транспортному средству, двигающемуся по пересекаемой дороге.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/80.jpg}
"Какой из нижепредставленных дорожных знаков запрещает въезд на территорию перекрестка, если впереди по направлению движения образовалась пробка, за исключением случаев поворота направо или налево?","[""1"", ""2"", ""3"", ""4""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/81.jpg}
"На каком наибольшем расстоянии устанавливается дорожный знак ""Территория перекрестка"", если невозможно установить его на границе перекрестка?","[""10 метров"", ""20 метров"", ""30 метров""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/82.jpg}
О чем предупреждает данный дорожный знак?,"[""Остановка запрещается"", ""Запрещается въезд на территорию перекрестка, если впереди по направлению движения образовалась пробка, которая принудит водителя остановиться"", ""Запрещается въезд на территорию перекрестка, если впереди по направлению движения образовалась пробка""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/83.jpg}
Что означает данная дорожная разметка?,"[""Место стоянки транспортных средств"", ""Место пешеходного перехода"", ""Островок безопасности"", ""Участок перекрестка, где запрещается въезд, если впереди по направлению движения образовалась пробка, которая принудит водителя остановиться""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/84.jpg}
"Какая из нижепредставленных дорожных разметок указывает участок перекрестка, где запрещается въезд, если впереди по направлению движения образовалась пробка, которая принудит водителя остановиться?","[""1"", ""2"", ""3""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/85.jpg}
