id,data,topic,country,language
1,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" пассажиром является:"", ""options"": [""Лицо, кроме водителя и обучающего вождению, находящееся в салоне (кабине) транспортного средства (на нем)."", ""Лицо, кроме водителя и обучающего вождению, находящееся в салоне (кабине) транспортного средства (на нем), а также лицо, которое входит в транспортное средство (садится на него) или выходит из транспортного средства (сходит с него).""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
2,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водительское удостоверение на право управления транспортными средствами категории „А” может быть выдано лицам, достигшим:"", ""options"": [""16 - летнего возраста."", ""17 - летнего возраста."", ""18 - летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
3,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” водительское удостоверение на право управления транспортными средствами категории „Е” может быть выдано лицам, достигшим:"", ""options"": [""17 - летнего возраста."", ""18 - летнего возраста."", ""19- летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
4,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Проезжая часть дороги” это:"", ""options"": [""Элемент дороги, предназначенный для движения транспортных средств."", ""Элемент дороги, предназначенный для движения безрельсовых транспортных средств.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
5,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"",Вынужденная остановка” это:"", ""options"": [""Прекращение движения, связанное с неожиданным включением запрещающего сигнала светофора."", ""Прекращение движения, из-за образовавшегося на дороге затора."", ""Приведение транспортного средства в состояние покоя, из-за его неисправности, физического и (или) душевного состояния водителя (пассажира), и (или) опасности, обусловленной перевозимым грузом или появлением на дороге иного препятствия."", ""Все перечисленные случаи.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
6,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Недостаточная видимость\"" это:"", ""options"": [""Видимость в темное время суток."", ""Видимость дороги в населенных пунктах при отсутствии искусственного освещения проезжей части."", ""Видимость дороги во время тумана, дождя, снегопада и (или) при иных погодных условиях, недостаточных для обеспечения безопасности дорожного движения, а также видимость дороги в темное время суток, и (или) видимость менее 300м.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
7,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Остановка” это:"", ""options"": [""Приведение транспортного средства в состояние покоя на время до 5 минут и (или) на время, необходимое для посадки, высадки и (или) загрузки, разгрузки транспортного средства."", ""Приведение транспортного средства в состояние покоя на время более 5 минут, если это не связано с посадкой, высадкой пассажиров или загрузкой, разгрузкой транспортного средства.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
8,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения“ „Транспортное средство общего пользования\"", это:"", ""options"": [""Транспортное средство (трамвай, троллейбус, автобус), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим остановочные места (остановки),"", ""Транспортное средство (трамвай, троллейбус, автобус, легковой автомобиль „такси“), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим остановочные места (остановки). Отв.” 1""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
9,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” к пешеходам приравниваются:"", ""options"": [""Инвалиды, передвигающиеся в инвалидных колясках без двигателя."", ""Лица, ведущие (толкающие) тележку, санки, детскую или инвалидную коляску."", ""Все перечисленные лица.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
10,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „ Прицеп (полуприцеп)\"", это:"", ""options"": [""Любое механическое транспортное средство, буксируемое на жесткой сцепке."", ""Не оборудованное двигателем транспортное средство, которое предназначено для движения как одно целое в составе с механическим транспортным средством.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
11,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” на дорогах Республики Армения установлено:"", ""options"": [""Правостороннее движение."", ""Левостороннее движение.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
12,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" со дня приобретения транспортое средство должно быть представлено для постановки на регистрации в органы Дорожной полиции:"", ""options"": [""В течение 15 дней."", ""В течение 10 дней."", ""В течение 20 дней.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
13,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” за сохранение транспортного средства в технически исправном состоянии ответственность несет:"", ""options"": [""Владелец или лицо, пользующееся транспортным средством."", ""Организация, которая продала транспортное средство."", ""Организация, которая проводила последний годовой технический осмотр транспортного средства."", ""Все перечисленное лица и организации.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
14,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водитель транспортного средства перед выездом обязан проверить:"", ""options"": [""Исправность тормозной системы и рулевого управления транспортного средства."", ""Соответствие остаточной высоты рисунка протектора шин транспортного средства установленным нормам."", ""Все перечисленное.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
15,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” водитель, в порядке оказания помощи, обязан предоставить транспортное средство:"", ""options"": [""Служащим полиции для перевозки в медицинское учреждение лиц, нуждающихся в срочной медицинской помощи."", ""Медицинским работникам (с согласия водителя), которые следуют в попутном направлении для оказания медицинской помощи."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
16,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водитель транспортного средства, имеющего отношение к дорожно-транспортному происшествию, обязан:"", ""options"": [""Незамедлительно остановить транспортное средство."", ""Включить аварийную сигнализацию."", ""О происшествии сообщить в полицию."", ""Совершить все перечисленные действия.""], ""correct_index"": 3, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
17,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” водитель механического транспортного средства обязан при себе иметь:"", ""options"": [""Водительское удостоверение на право управления транспортными средствами данной категории и учетные документы транспортного средства."", ""Доверенность, при управление транспортным средством принадлежащим другому лицу."", ""Все перечисленные документы.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
18,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения’ „Полоса движения”, это:"", ""options"": [""Обозначенная разметкой полоса проезжей части, имеющая ширину, достаточную для движения транспортных средств в один ряд."", ""Обозначенная или не обозначенная разметкой полоса проезжей части, имеющая ширину, достаточную для движения транспортных средств в один ряд.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
19,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Разрешенная максимальная масса“ транспортного средства, это:"", ""options"": [""Масса укомплектованного и заправленного транспортного средства."", ""Масса укомплектованного и заправленного транспортного средства с водителем, пассажирами и грузом.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
20,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „ Регулировщик“\"", это:"", ""options"": [""Лицо, уполномоченное регулировать дорожное движение и осуществляющее это регулирование в установленном законодательством порядке."", ""Любой участник дорожного движения (водитель, пешеход, пассажир), который, при возникновении необходимости, осуществляет регулировочные действия."", ""Все перечисленные лица. Отв.” 1""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
21,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „ Велосипед\"", это:"", ""options"": [""Транспортные средства, имеющих не менее двух колес, в том числе инвалидные коляски, приводимые в движение мускульной силой находящихся на нем людей с помощью педали или рычага."", ""Транспортные средства, имеющих не менее двух колес, кроме инвалидной коляски, приводимые в движение мускульной силой находящихся на нем людей с помощью педали или рычага.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
22,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „ Пешеход\"", это:"", ""options"": [""Лица, находящиеся на дороге, вне транспортного средства, за исключением лиц, уполномоченных производить работы на дороге и производящие эти работы в установленном законодательством порядке."", ""Лица, находящиеся на дороге, вне транспортного средства, в том числе лица, уполномоченные производить работы на дороге и производящие эти работы в установленном законодательством порядке.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
23,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” первоначальное обучение вождению транспортных средств должно проводиться:"", ""options"": [""На дорогах вне населенных пунктов, с учетом интенсивности движения транспортных средств."", ""На закрытых площадках или автодромах."", ""На любой дороге (кроме автомагистралей) с учетом интенсивности движения транспортных средств.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
24,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" считается ли перекрестком выезд на дорогу с прилегающей территории?"", ""options"": [""Не считается."", ""Считается.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
25,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" лицам, имеющим водительское удостоверение на право управления транспортными средствами категории „В“”, „С“” и \""О\"" разрешается управлять ими также при наличии прицепа, если разрешенная максимальная масса которого не превышает:"", ""options"": [""750 килограммов."", ""800 килограммов."", ""1 000 килограммов.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
26,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" велосипедистам запрещается ездить:"", ""options"": [""Не держась за руль."", ""Без мотошлема."", ""В обоих случаях.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
27,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водительское удостоверение на право управления транспортными средствами категории „В“ и „С“ может быть выдано:"", ""options"": [""Лицам, достигшим 16- летнего возраста."", ""Лицам, достигшим 17- летнего возраста."", ""Лицам, достигшим 18 - летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
28,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „ Мопед\"", это:"", ""options"": [""Двух или трехколесное транспортное средство, с двигателем, имеющим рабочий объем не более 50 куб.см и максимальную скорость не более 50 кмчас."", ""Авух или трехколесное транспортное средство, с двигателем, имеющим рабочий объем не более 60 куб.см и максимальную скорость не более 60 кмчас."", ""Двух или трехколесное транспортное средство, с двигателем, имеющим рабочий объем не более 70 куб.см и максимальную скорость не более 70 кмчас. Отв.” 1""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
29,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” лицо, обучающее вождению транспортных средств:"", ""options"": [""Приравнивается к водителю."", ""Не приравнивается к водителю.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
30,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „Аварийная обстановка“, это:"", ""options"": [""Ситуация, при которой из-за действия или бездействия участника дорожного движения возникла реальная угроза дорожно-транспортного происшествия ."", ""Ситуация, при которой из-за действия или бездействия участника дорожного движения и (или) регулировщика возникла реальная угроза дорожно - транспортного происшествия.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
31,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „ Темное время суток“, это:"", ""options"": [""Промежуток времени суток осенью и зимой - с 20.00 вечера до"", ""00 часов утра и весной и летом -с 22.00 ло 6.00 часов утра."", ""Промежуток времени суток от начала вечерних сумерек до конца утренних сумерек."", ""Промежуток времени отсутствии солнечного света.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
32,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „Автобус“, это:"", ""options"": [""Автомобиль, имеющий более 8-и пассажирских мест для сидения и своей конструкцией и оборудованием предназначенный для безопасной перевозки пассажиров и багажа."", ""Автомобиль, имеющий 8 и более пассажирских мест для сидения и своей конструкцией и оборудованием предназначенный для безопасной перевозки пассажиров и багажа.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
33,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения”, Легковой автомобиль\"", это:"", ""options"": [""Автомобиль, имеющий не более 8-и пассажирских мест для сидения и своей конструкцией и оборудованием предназначенный для безопасной перевозки пассажиров и багажа."", ""Автомобиль, имеющий не более 4-х пассажирских мест для сидения (без учета мест для детей до 12-ти летнего возраста) и своей конструкцией и оборудованием предназначенный для безопасной перевозки пассажиров и багажа.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
34,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" к пешеходам приравниваются:"", ""options"": [""Инвалиды, передвигающиеся со скоростью пешехода в инвалидных колясках с двигателем."", ""Лица, ведущие велосипед, мопед или мотоцикл."", ""Все перечисленные лица.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
35,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" право управления транспортными средствами наступает:"", ""options"": [""С момента положительной сдачи экзамена по практическому вождению транспортных средств в подразделениях Дорожной полиции полиции РА."", ""С момента получения водительского удостоверения.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
36,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” международное водительское удостоверение на право управления транспортными средствами категории „А“ и „В” может быть выдано:"", ""options"": [""Лицам, достигшим 16-летнего возраста."", ""Лицам, достигшим 17-летнего возраста."", ""Лицам, достигшим 18-летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
37,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” международное водительское удостоверение на право управления транспортными средствами категории „С” может быть выдано:"", ""options"": [""Лицам, достигшим 18-летнего возраста."", ""Лицам, достигшим 20-летнего возраста."", ""Лицам, достигшим 21-летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
38,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" национальные водительские удостоверения выдаются сроком на:"", ""options"": [""5 лет."", ""10 лет."", ""20 лет."", ""Бессрочно.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
39,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” международные водительские удостоверения выдаются сроком на:"", ""options"": [""1 год."", ""3 года."", ""5 лет."", ""Бессрочно.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
40,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” в подразделениях Дорожной полиции кандидат в водители допускается к экзаменам по практическому вождению, если ему исполнилось:"", ""options"": [""15 лет."", ""16 лет."", ""17 лет.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
41,"{""question"": ""Обязан ли во время вождения обучающийся вождению пристегнуть ремни безопасности:"", ""options"": [""Обязан."", ""Не обязан."", ""Не обязан, если это затрудняет вождение автомобиля."", ""Не обязан, если разрешает обучающий вождению.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
42,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водительское удостоверение на право управления транспортными средствами категории „О“ и подкатегории „01\"" может быть выдано лицам, достигшим:"", ""options"": [""18 - летнего возраста."", ""19- летнего возраста."", ""20 - летнего возраста."", ""21 - летнего возраста.""], ""correct_index"": 3, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
43,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Остановка” это:"", ""options"": [""Приведение транспортного средства в недвижимое состояние, связанное с требованием пассажира."", ""Приведение транспортного средства в недвижимое состояние на время более 5 минут, если это не связано с посадкой или высадкой пассажиров либо загрузкой, разгрузкой транспортного средства."", ""Приведение транспортного средства в недвижимое состояние на время до 5 минут и (или) на время, необходимое для посадки или высадки пассажиров либо загрузки или разгрузки транспортного средства.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
44,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Транспортное средство общего пользования\"", это:"", ""options"": [""Транспортное средство (трамвай, троллейбус, автобус), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим места остановки (остановки), а также легковой автомобиль-такси."", ""Транспортное средство (трамвай, троллейбус, автобус), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим места остановки (остановки)."", ""Транспортное средство, движущееся по туристическим маршрутам и перевозящее пассажиров и (или) багаж.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
45,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Разрешенная максимальная масса“ транспортного средства это:"", ""options"": [""Максимальная масса укомплектованного и заправленного транспортного средства."", ""Масса укомплектованного и заправленного транспортного средства с водителем, пассажирами и грузом, установленного предприятием-изготовителем в качестве максимально допустимой."", ""Масса транспортного средства с водителем, пассажирами и грузом, установленного предприятием-изготовителем в качестве максимально допустимой.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
46,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” лицам, имеющим водительское удостоверение на право управления транспортными средствами категории „В\"", „С“, „О” и подкатегорий „С1”, „О1\"" разрешается также управлять ими с прицепами, если разрешенная макимальная масса прицепа не превышает:"", ""options"": [""950 килограммов."", ""850 килограммов."", ""750 килограммов.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
47,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” местом остановки транспортных средств общего пользования называется:"", ""options"": [""Место, предназначенное для посадки-высадки пассажиров на определенном отрезке маршрута транспортных средств общего пользования и оборудованное соответстующими дорожными знаками."", ""Место, предназначенное для посадки-высадки пассажиров на определенном отрезке маршрута транспортных средств общего пользования.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
48,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” стоянкой называется:"", ""options"": [""Приведение транспортного средства в недвижимое состояние на время более 5 минут, по причинам, не связанным с посадкой или высадкой пассажиров либо загрузкой или разгрузкой транспортного средства."", ""Приведение транспортного средства в недвижимое состояние на время более 5 минут, кроме случаев предотвращения столкновения с другим участником дорожного движения или препятствием, посадкой, высадкой пассажиров и (или) загрузкой, разгрузкой транспортного средства, а также в других случаях определенных законадательством.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
49,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” водительское удостоверение на право управления транспортными средствами категории „О” и подкатегории „ПО1\"" может быть выдано лицам, призванными в вооруженные силы и другие войска РА достигшим."", ""options"": [""18 - летнего возраста."", ""19- летнего возраста."", ""20 - летнего возраста."", ""21 - летнего возраста.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
50,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водительское удостоверение на право управления транспортными средствами категории „О“ и подкатегории „01” может быть выдано лицам, которые имеют:"", ""options"": [""Водительское удостоверение категории \""В\"" или \""С\"", или подкатегории \""С!\"" и им исполнился 21 год."", ""Водительское удостоверение категории \""В\"" или подкатегории \""ВТ\"" и им исполнилось 18 лет."", ""Водительское удостоверение категории \""АВ\"" или подкатегории \""АТВ\"" и им исполнилось 18 лет."", ""Водительское удостоверение категории \""В\"" или \""С\"", или подкатегории \""С!\"" и им исполнилось 20 лет. Отв.” 1""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
51,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” международное водительское удостоверение на право управления транспортными средствами категории „О”, \""ОЕ\"", подкатегории „О1”и „О1Е” может быть выдано лицам достигшим:"", ""options"": [""19- летнего возраста."", ""20 - летнего возраста."", ""21 - летнего возраста."", ""22 - летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
