data,topic,country,language
"{""question"": ""Какой  знак называется ,,Объезд препятствия слева\""?"", ""question_image"": null, ""options"": [""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/1.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/2.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/3.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/4.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/5.jpg}""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли автобусу въезжать на перекресток в данной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/6.jpg"", ""options"": [""Разрешается."", ""Запрещается."", ""Разрешается, если автобус движется по установленному маршруту.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Из какой полосы следует поворачивать направо в показанной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/7.jpg"", ""options"": [""Только из второй  полосы."", ""Только из крайней правой полосы, обозначенной разметкой  \""A\"".""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""На перекрестке организовано круговое движение. Проезжая часть, по которой Вы подъезжаете к перекрестку имеет две полосы для движения. Какую полосу Вы обязаны занять для поворота при въезде на перекресток?"", ""question_image"": null, ""options"": [""Правую полосу."", ""Левую полосу."", ""Правую или левую полосу.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли повернуть во двор в этом месте?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/8.jpg"", ""options"": [""Разрешается."", ""Запрещается.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""На дорогах  с двусторонним движением,  имеющих  три полосы, обозначенные разметкой, из которых  средняя пользуется для движения в обоих направлениях (за исключением дорог с реверсивным регулированием  движения)  выезжать на крайнюю левую полосу:"", ""question_image"": null, ""options"": [""Разрешается."", ""Запрещается."", ""Разрешается, только для  обгона, объезда,  поворота налево или разворота.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком  ответе правильно указано разрешенное направление движения?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/9.jpg"", ""options"": [""Только разворот."", ""Прямо и  разворот."", ""Только прямо.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком  направлении запрещено движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/10.jpg"", ""options"": [""Налево и направо."", ""Прямо и в обратном направлении."", ""Только прямо."", ""Во всех направлениях.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разворот запрещается:"", ""question_image"": null, ""options"": [""На пешеходных переходах."", ""В тоннелях."", ""На мостах, путепроводах, эстакадах и под ними."", ""На железнодорожных переездах."", ""Во всех перечисленных случаях.""], ""correct_index"": 5}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли водителю желтого автобуса  выезжать на перекресток?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/11.jpg"", ""options"": [""Разрешается."", ""Запрещается."", ""Разрешается, если автобус движется по установленному маршруту.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком  ответе правильно указано разрешенное  направление движения?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/12.jpg"", ""options"": [""Прямо и налево -во двор."", ""Только прямо."", ""Только разворот."", ""Прямо и  разворот.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разворот запрещается, если видимость дороги хотя бы в одном направлении менее:"", ""question_image"": null, ""options"": [""100 м."", ""150 м."", ""300 м.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Вы движетесь по дороге с двусторонним движением, имеющей три полосы. В каком случае разрешается въезжать на среднюю полосу?"", ""question_image"": null, ""options"": [""Только для обгона."", ""Только для объезда."", ""Только для поворота налево или разворота."", ""Во всех перечисленных случаях.""], ""correct_index"": 4}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком направлении разрешается движение грузового автомобиля?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/13.jpg"", ""options"": [""Только направо."", ""Направо, налево и в обратном направлении."", ""Только налево.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""На каком рисунке водитель правильно выполняет   маневр?"", ""question_image"": null, ""options"": [""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/14.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/15.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/16.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/17.jpg}""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства правильно выполняет разворот?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/18.jpg"", ""options"": [""Водитель синего автомобиля."", ""Водитель красного автомобиля."", ""Оба водителя.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""На дорогах с двусторонним движением, при отсутствии   дорожных знаков, разметки и  разделительной полосы,  находящиеся   на проезжей   части   дороги   элементы   дорожных сооружений водители должны объезжать:"", ""question_image"": null, ""options"": [""Справа."", ""Слева.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком  направлении запрещено движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/19.jpg"", ""options"": [""Только налево."", ""Только направо."", ""Прямо и налево."", ""Во всех направлениях.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства нарушает правила поворота с дороги, на которой есть полоса торможения?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/20.jpg"", ""options"": [""Оба водителя."", ""Водитель желтого автомобиля."", ""Оба водителя поворачивают правильно.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли в этой обстановке водителю красного автомобиля продолжать движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/21.jpg"", ""options"": [""Разрешается."", ""Запрещается.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""По дороге с двусторонним движением, имеющей три полосы, Вам необходимо повернуть налево. Из какой полосы Вы осуществите данный маневр?"", ""question_image"": null, ""options"": [""С правой полосы."", ""Со средней полосы."", ""С правой или средней полосы."", ""Со средней полосы, когда занята правая полоса.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли водителю красного автомобиля двигаться по трамвайным путям?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/22.jpg"", ""options"": [""Разрешается."", ""Запрещается.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разворот запрещается:"", ""question_image"": null, ""options"": [""На пешеходных переходах и в тоннелях."", ""На мостах, путепроводах, эстакадах и под ними."", ""На железнодорожных переездах."", ""При видимости дороги менее 100 м хотя бы в одном направлении."", ""Во всех перечисленных случаях.""], ""correct_index"": 5}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком направлении разрешается движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/23.jpg"", ""options"": [""Только налево."", ""Прямо, налево и разворот."", ""Только прямо.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водители каких транспортных средств нарушили требования дорожного знака?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/24.jpg"", ""options"": [""Водители мотоциклов."", ""Водители автомобиля и мотоцикла с боковым прицепом."", ""Только водитель автомобиля."", ""Водители всех транспортных средств.""], ""correct_index"": 4}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""При одновременном перестроении попутно движущихся транспортных средств дорогу должен уступить:"", ""question_image"": null, ""options"": [""Водитель транспортного средства, находящийся слева."", ""Водитель транспортного средства, находящийся справа.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого  транспортного  средства имеет преимущество на первоочередное движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/25.jpg"", ""options"": [""Водитель грузового автомобиля."", ""Водитель автобуса.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Должен ли водитель автобуса, движущегося по установленному маршруту, уступать дорогу в данной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/26.jpg"", ""options"": [""Должен."", ""Не должен."", ""Не должен, так как он движется прямо.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Если встречный разъезд на уклонах, обозначенных соответстующим знаком, затруднен, необходимо уступить дорогу:"", ""question_image"": null, ""options"": [""Транспортному средству, движущегося на спуск."", ""Транспортному средству общего пользования."", ""Транспортному средству, движущегося на подъем.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства должен уступить дорогу?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/27.jpg"", ""options"": [""Водитель трактора."", ""Водитель автобуса.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Преимущество в движении имеет:"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/28.jpg"", ""options"": [""Синий автомобиль, т. к. красный изменяет направление движения влево."", ""Красный автомобиль, т. к. при одновременном перестроении он находится справа."", ""Синий автомобиль, т. к. при одновременном перестроении он находится слева.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Обязаны ли водители транспортных  средств  в  населенных пунктах  уступать дорогу  транспортным средствам общего пользования, начинающим движение от обозначенного и оборудованного места  остановки?"", ""question_image"": null, ""options"": [""Да."", ""Нет.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства должен уступить дорогу?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/29.jpg"", ""options"": [""Водитель легкового автомобиля."", ""Водитель грузового автомобиля.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства должен уступить дорогу?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/30.jpg"", ""options"": [""Водитель автобуса."", ""Водитель автомобиля.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства должен уступить дорогу?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/31.jpg"", ""options"": [""Водитель автомобиля."", ""Водитель трамвая.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Укажите очередность проезда перекрестка:"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/32.jpg"", ""options"": [""Автобус, грузовой автомобиль, гужевая повозка."", ""Автобус и гужевая повозка, грузовой автомобиль.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""При встречном разъезде, на крутых спусках, необходимо уступить дорогу:"", ""question_image"": null, ""options"": [""Водителю транспортного средства общего пользования."", ""Водителю транспортного средства, движущегося на подъем."", ""Водителю транспортного средства, движущегося под уклон.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли транспортным средствам общего пользования в населенных пунктах занимать крайнюю левую полосу дороги, имеющей 3 или более полосы в одном направлении?"", ""question_image"": null, ""options"": [""Разрешается при обгоне."", ""Разрешается при левом повороте или развороте."", ""Разрешается во всех случаях.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли транспортным средствам, выполняющим регулярную перевозку пассажиров на всех дорогах, занимать крайнюю левую полосу дороги, имеющей 3 или более полосы в одном направлении?"", ""question_image"": null, ""options"": [""Разрешается при обгоне."", ""Разрешается, при левом повороте или развороте."", ""Разрешается в любых случаях.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Как должен поступить водитель автобуса в данной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/33.jpg"", ""options"": [""Уступить дорогу легковому автомобилю."", ""Включить указатель поворота, дать звуковой сигнал и начать движение."", ""Начать движение, убедившись, что водитель легкового автомобиля уступает дорогу.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель белого легкового автомобиля в данной ситуации:"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/34.jpg"", ""options"": [""Должен уступить дорогу автобусу, который начинает движение с обозначенного места остановки."", ""Имеет преимущество в движении, поскольку автобус перестраивается на вторую полосу движения.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства имеет право на первоочередное движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/35.jpg"", ""options"": [""Водитель легкового автомобиля."", ""Водитель автобуса.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Водитель какого транспортного средства имеет преимущество в движении в данной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/36.jpg"", ""options"": [""Водитель автобуса."", ""Водитель легкового автомобиля."", ""Водитель легкового автомобиля не имеет право переехать на правую полосу.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Обязан ли водитель автобуса уступить дорогу  грузовому автомобилю  на перекрестке, где организовано кольцевое движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/37.jpg"", ""options"": [""Обязан."", ""Не обязан.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Обязан ли водитель автобуса, продолжающего движение прямо, уступить дорогу грузовому автомобилю?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/38.jpg"", ""options"": [""Обязан."", ""Не обязан.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Кому Вы должны уступить дорогу, если намерены продолжать движение прямо?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/39.jpg"", ""options"": [""Двум транспортным средствам."", ""Только автобусу."", ""Только легковому автомобилю."", ""Никому.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, если намерены продолжить движение прямо?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/40.jpg"", ""options"": [""Только легковому автомобилю."", ""Только автобусу и легковому автомобилю."", ""Всем транспортным средствам."", ""Только мотоциклу.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Обязан ли водитель мотоцикла уступить дорогу в данной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/41.jpg"", ""options"": [""Не обязан."", ""Обязан.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Имеете ли Вы право совершить маневр по обозначенной траектории в данной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/42.jpg"", ""options"": [""Да."", ""Нет.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, продолжая движение прямо."", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/43.jpg"", ""options"": [""Только легковому автомобилю."", ""Только грузовому автомобилю."", ""Двум транспортным средствам."", ""Никому.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Обязаны ли Вы уступить дорогу легковому автомобилю, если продолжаете движение прямо?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/44.jpg"", ""options"": [""Обязаны."", ""Не обязаны.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Обязаны ли Вы, начиная  движение с обочины, уступить дорогу легковому автомобилю, который делает разворот?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/45.jpg"", ""options"": [""Обязаны."", ""Не обязаны.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, продолжая движения прямо?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/46.jpg"", ""options"": [""Только легковому автомобилю."", ""Никому."", ""Только легковому автомобилю и мотоциклу."", ""Всем транспортным средствам.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому  транспортному средству Вы должны уступить дорогу, если намерены совершить поворот налево?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/47.jpg"", ""options"": [""Мотоциклу."", ""Патрульному автомобилю."", ""Всем транспортным средствам.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, если намерены совершить разворот на перекрестке?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/48.jpg"", ""options"": [""Легковому автомобилю."", ""Всем транспортным средствам."", ""Грузовому автомобилю.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, если намерены совершить левый поворот на перекрестке?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/49.jpg"", ""options"": [""Грузовому автомобилю."", ""Всем транспортным средствам."", ""Никому.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, если намерены совершить левый поворот на перекрестке?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/50.jpg"", ""options"": [""Никому."", ""Только автобусу."", ""Только грузовому автомобилю с включенным проблесковым маячком."", ""Обоим транспортным средствам.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, если на перекрестке намерены совершить разворот ?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/51.jpg"", ""options"": [""Только грузовому автомобилю."", ""Только легковому автомобилю."", ""Всем транспортным средствам."", ""Никому.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны уступить дорогу, если намерены совершить левый поворот на перекрестке?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/52.jpg"", ""options"": [""Только автобусу."", ""Автобусу и легковому автомобилю."", ""Только легковому автомобилю."", ""Никому.""], ""correct_index"": 4}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Обязаны ли Вы уступить дорогу легковому автомобилю, если намерены совершить правый поворот на перекрестке?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/53.jpg"", ""options"": [""Обязаны."", ""Не обязаны.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Какому транспортному средству Вы должны  уступить дорогу, если намерены совершить правый поворот на перекрестке?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/54.jpg"", ""options"": [""Никому."", ""Только легковому автомобилю."", ""Мотоциклу и легковому автомобилю.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
